metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.1500599705581124
ber,0.0,2,upair5g_lmmse,0.1601763245061779
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1744916997057326
ber,0.0,4,baseline_ddcpe_ls_lmmse,0.1780385429977525
ber,0.0,5,baseline_ls_lmmse,0.1781651111359292
ber,1.0,1,perfect_csi_lmmse,0.1240812261053856
ber,1.0,2,upair5g_lmmse,0.1356842162761282
ber,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1529202630333866
ber,1.0,4,baseline_ddcpe_ls_lmmse,0.1546502891161763
ber,1.0,5,baseline_ls_lmmse,0.1549628034551093
ber,2.0,1,perfect_csi_lmmse,0.0873009701992603
ber,2.0,2,upair5g_lmmse,0.1052097090592621
ber,2.0,3,baseline_ddcpe_ls_lmmse,0.1288715592512847
ber,2.0,4,baseline_ls_lmmse,0.1295816949073304
ber,2.0,5,paper_cfgres_phaseaware_ls_lmmse,0.1297318614121024
ber,3.0,1,perfect_csi_lmmse,0.0243477922804812
ber,3.0,2,upair5g_lmmse,0.0507107051551764
ber,3.0,3,baseline_ddcpe_ls_lmmse,0.0942276352686239
ber,3.0,4,baseline_ls_lmmse,0.0960716017594574
ber,3.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0996179715961429
ber,4.0,1,perfect_csi_lmmse,0.0025311733813996
ber,4.0,2,upair5g_lmmse,0.0079243910228106
ber,4.0,3,baseline_ddcpe_ls_lmmse,0.0380774423585715
ber,4.0,4,baseline_ls_lmmse,0.0432840441981105
ber,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0527459070192161
ber,5.0,1,perfect_csi_lmmse,0.0002239849550504
ber,5.0,2,upair5g_lmmse,0.0008607417979138
ber,5.0,3,baseline_ddcpe_ls_lmmse,0.0066875768891463
ber,5.0,4,baseline_ls_lmmse,0.010838082496156
ber,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0174055775852068
ber,6.0,1,perfect_csi_lmmse,2.8086316516555717e-05
ber,6.0,2,upair5g_lmmse,0.0001106084609412
ber,6.0,3,baseline_ddcpe_ls_lmmse,0.0009390167035825
ber,6.0,4,baseline_ls_lmmse,0.0024176274226466
ber,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0047479790599301
ber,7.0,1,perfect_csi_lmmse,2.142385388097019e-06
ber,7.0,2,upair5g_lmmse,1.3265203922352892e-05
ber,7.0,3,baseline_ddcpe_ls_lmmse,0.0001585348278072
ber,7.0,4,baseline_ls_lmmse,0.0006217719815301
ber,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0014615278717473
ber,8.0,1,perfect_csi_lmmse,6.442374371467752e-07
ber,8.0,2,upair5g_lmmse,4.457243790863254e-06
ber,8.0,3,baseline_ddcpe_ls_lmmse,4.4100673486154976e-05
ber,8.0,4,baseline_ls_lmmse,0.0001965837275728
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.000514361875277
ber,9.0,1,upair5g_lmmse,0.0
ber,9.0,2,perfect_csi_lmmse,0.0
ber,9.0,3,baseline_ddcpe_ls_lmmse,1.0850581716983876e-05
ber,9.0,4,baseline_ls_lmmse,5.399419906291556e-05
ber,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.000229850728461
ber,10.0,1,upair5g_lmmse,0.0
ber,10.0,2,perfect_csi_lmmse,0.0
ber,10.0,3,baseline_ddcpe_ls_lmmse,2.1102580618351065e-06
ber,10.0,4,baseline_ls_lmmse,1.954186892678552e-05
ber,10.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0001288390328698
ber,11.0,1,upair5g_lmmse,0.0
ber,11.0,2,perfect_csi_lmmse,0.0
ber,11.0,3,baseline_ddcpe_ls_lmmse,2.154221771456671e-06
ber,11.0,4,baseline_ls_lmmse,1.2648021075742464e-05
ber,11.0,5,paper_cfgres_phaseaware_ls_lmmse,9.00495136883242e-05
ber,12.0,1,upair5g_lmmse,0.0
ber,12.0,2,perfect_csi_lmmse,0.0
ber,12.0,3,baseline_ddcpe_ls_lmmse,3.348005578873005e-06
ber,12.0,4,baseline_ls_lmmse,7.30473944481383e-06
ber,12.0,5,paper_cfgres_phaseaware_ls_lmmse,7.771431131565824e-05
ber,13.0,1,upair5g_lmmse,0.0
ber,13.0,2,perfect_csi_lmmse,0.0
ber,13.0,3,baseline_ddcpe_ls_lmmse,2.149149035731106e-06
ber,13.0,4,baseline_ls_lmmse,4.710880577141512e-06
ber,13.0,5,paper_cfgres_phaseaware_ls_lmmse,5.596411143634336e-05
ber,14.0,1,upair5g_lmmse,0.0
ber,14.0,2,perfect_csi_lmmse,0.0
ber,14.0,3,baseline_ddcpe_ls_lmmse,3.4900421791888297e-06
ber,14.0,4,baseline_ls_lmmse,5.248590564051418e-06
ber,14.0,5,paper_cfgres_phaseaware_ls_lmmse,5.215617781835245e-05
bler,0.0,1,baseline_ls_lmmse,1.0
bler,0.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,0.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,0.0,4,upair5g_lmmse,1.0
bler,0.0,5,perfect_csi_lmmse,1.0
bler,1.0,1,baseline_ls_lmmse,1.0
bler,1.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,1.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,1.0,4,upair5g_lmmse,1.0
bler,1.0,5,perfect_csi_lmmse,1.0
bler,2.0,1,baseline_ls_lmmse,1.0
bler,2.0,2,baseline_ddcpe_ls_lmmse,1.0
bler,2.0,3,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,2.0,4,upair5g_lmmse,1.0
bler,2.0,5,perfect_csi_lmmse,1.0
bler,3.0,1,perfect_csi_lmmse,0.6066080729166666
bler,3.0,2,upair5g_lmmse,0.9285888671875
bler,3.0,3,baseline_ls_lmmse,1.0
bler,3.0,4,baseline_ddcpe_ls_lmmse,1.0
bler,3.0,5,paper_cfgres_phaseaware_ls_lmmse,1.0
bler,4.0,1,perfect_csi_lmmse,0.0773111979166666
bler,4.0,2,upair5g_lmmse,0.2138671875
bler,4.0,3,baseline_ddcpe_ls_lmmse,0.7550455729166666
bler,4.0,4,baseline_ls_lmmse,0.7884928385416666
bler,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.8341878255208334
bler,5.0,1,perfect_csi_lmmse,0.0076904296875
bler,5.0,2,upair5g_lmmse,0.0254313151041666
bler,5.0,3,baseline_ddcpe_ls_lmmse,0.1786295572916666
bler,5.0,4,baseline_ls_lmmse,0.2540283203125
bler,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.36181640625
bler,6.0,1,perfect_csi_lmmse,0.0008627300613496
bler,6.0,2,upair5g_lmmse,0.0031952965235173
bler,6.0,3,baseline_ddcpe_ls_lmmse,0.0265848670756646
bler,6.0,4,baseline_ls_lmmse,0.0608703987730061
bler,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.1115478016359918
bler,7.0,1,perfect_csi_lmmse,6.103515625e-05
bler,7.0,2,upair5g_lmmse,0.0004374186197916
bler,7.0,3,baseline_ddcpe_ls_lmmse,0.004364013671875
bler,7.0,4,baseline_ls_lmmse,0.0155741373697916
bler,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0363972981770833
bler,8.0,1,perfect_csi_lmmse,3.0517578125e-05
bler,8.0,2,upair5g_lmmse,8.138020833333333e-05
bler,8.0,3,baseline_ddcpe_ls_lmmse,0.0008951822916666
bler,8.0,4,baseline_ls_lmmse,0.004669189453125
bler,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0123799641927083
bler,9.0,1,upair5g_lmmse,0.0
bler,9.0,2,perfect_csi_lmmse,0.0
bler,9.0,3,baseline_ddcpe_ls_lmmse,0.000244140625
bler,9.0,4,baseline_ls_lmmse,0.0013427734375
bler,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0052693684895833
bler,10.0,1,upair5g_lmmse,0.0
bler,10.0,2,perfect_csi_lmmse,0.0
bler,10.0,3,baseline_ddcpe_ls_lmmse,4.069010416666666e-05
bler,10.0,4,baseline_ls_lmmse,0.00042724609375
bler,10.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0025736490885416
bler,11.0,1,upair5g_lmmse,0.0
bler,11.0,2,perfect_csi_lmmse,0.0
bler,11.0,3,baseline_ddcpe_ls_lmmse,4.069010416666666e-05
bler,11.0,4,baseline_ls_lmmse,0.000244140625
bler,11.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0017903645833333
bler,12.0,1,upair5g_lmmse,0.0
bler,12.0,2,perfect_csi_lmmse,0.0
bler,12.0,3,baseline_ddcpe_ls_lmmse,3.0517578125e-05
bler,12.0,4,baseline_ls_lmmse,0.0001322428385416
bler,12.0,5,paper_cfgres_phaseaware_ls_lmmse,0.001251220703125
bler,13.0,1,upair5g_lmmse,0.0
bler,13.0,2,perfect_csi_lmmse,0.0
bler,13.0,3,baseline_ddcpe_ls_lmmse,5.0862630208333336e-05
bler,13.0,4,baseline_ls_lmmse,0.0001118977864583
bler,13.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0009969075520833
bler,14.0,1,upair5g_lmmse,0.0
bler,14.0,2,perfect_csi_lmmse,0.0
bler,14.0,3,baseline_ddcpe_ls_lmmse,5.0862630208333336e-05
bler,14.0,4,baseline_ls_lmmse,0.0001118977864583
bler,14.0,5,paper_cfgres_phaseaware_ls_lmmse,0.000762939453125
nmse,0.0,1,perfect_csi_lmmse,0.0
nmse,0.0,2,upair5g_lmmse,0.029049040589598
nmse,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1076114475436043
nmse,0.0,4,baseline_ddcpe_ls_lmmse,0.1427531563094817
nmse,0.0,5,baseline_ls_lmmse,0.1432089141453616
nmse,1.0,1,perfect_csi_lmmse,0.0
nmse,1.0,2,upair5g_lmmse,0.0227633065733243
nmse,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0960745559714268
nmse,1.0,4,baseline_ddcpe_ls_lmmse,0.1158924770134035
nmse,1.0,5,baseline_ls_lmmse,0.1167085938213858
nmse,2.0,1,perfect_csi_lmmse,0.0
nmse,2.0,2,upair5g_lmmse,0.0183074396627489
nmse,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.087144939956488
nmse,2.0,4,baseline_ddcpe_ls_lmmse,0.0946081901201978
nmse,2.0,5,baseline_ls_lmmse,0.0959106817899737
nmse,3.0,1,perfect_csi_lmmse,0.0
nmse,3.0,2,upair5g_lmmse,0.0148484127130359
nmse,3.0,3,baseline_ddcpe_ls_lmmse,0.0771454669302329
nmse,3.0,4,baseline_ls_lmmse,0.0790597130544483
nmse,3.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0794130624271929
nmse,4.0,1,perfect_csi_lmmse,0.0
nmse,4.0,2,upair5g_lmmse,0.0122675564234668
nmse,4.0,3,baseline_ddcpe_ls_lmmse,0.0631618114857701
nmse,4.0,4,baseline_ls_lmmse,0.0658402591070626
nmse,4.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0734793431765865
nmse,5.0,1,perfect_csi_lmmse,0.0
nmse,5.0,2,upair5g_lmmse,0.0102880905542406
nmse,5.0,3,baseline_ddcpe_ls_lmmse,0.0518963711656397
nmse,5.0,4,baseline_ls_lmmse,0.0554153586708707
nmse,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0685473511111922
nmse,6.0,1,perfect_csi_lmmse,0.0
nmse,6.0,2,upair5g_lmmse,0.0087416740562881
nmse,6.0,3,baseline_ddcpe_ls_lmmse,0.0426982677330268
nmse,6.0,4,baseline_ls_lmmse,0.0469649712343705
nmse,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0644648486371237
nmse,7.0,1,perfect_csi_lmmse,0.0
nmse,7.0,2,upair5g_lmmse,0.0075283322676114
nmse,7.0,3,baseline_ddcpe_ls_lmmse,0.0353036264677939
nmse,7.0,4,baseline_ls_lmmse,0.0402810434206912
nmse,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0609773990436224
nmse,8.0,1,perfect_csi_lmmse,0.0
nmse,8.0,2,upair5g_lmmse,0.0065836750418384
nmse,8.0,3,baseline_ddcpe_ls_lmmse,0.029504706744774
nmse,8.0,4,baseline_ls_lmmse,0.0350241208579973
nmse,8.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0583554776676464
nmse,9.0,1,perfect_csi_lmmse,0.0
nmse,9.0,2,upair5g_lmmse,0.0058172077392555
nmse,9.0,3,baseline_ddcpe_ls_lmmse,0.0249059050875075
nmse,9.0,4,baseline_ls_lmmse,0.0308715552382636
nmse,9.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0563094085737247
nmse,10.0,1,perfect_csi_lmmse,0.0
nmse,10.0,2,upair5g_lmmse,0.0051796175384879
