metric,ebno_db,rank,receiver,value
ber,0.0,1,perfect_csi_lmmse,0.1580116582471271
ber,0.0,2,upair5g_lmmse,0.1630279925442481
ber,0.0,3,paper_cfgres_phaseaware_ls_lmmse,0.172082080397495
ber,0.0,4,baseline_ls_lmmse,0.1811328858368156
ber,0.0,5,baseline_ddcpe_ls_lmmse,0.1812130610148112
ber,1.0,1,perfect_csi_lmmse,0.1338757137919581
ber,1.0,2,upair5g_lmmse,0.1397651849791061
ber,1.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1497848126315331
ber,1.0,4,baseline_ls_lmmse,0.1579419808794361
ber,1.0,5,baseline_ddcpe_ls_lmmse,0.1580301477003467
ber,2.0,1,perfect_csi_lmmse,0.1022923639578412
ber,2.0,2,upair5g_lmmse,0.1117638358774111
ber,2.0,3,paper_cfgres_phaseaware_ls_lmmse,0.1251899068669755
ber,2.0,4,baseline_ls_lmmse,0.1324755276820456
ber,2.0,5,baseline_ddcpe_ls_lmmse,0.1325964816780977
ber,3.0,1,perfect_csi_lmmse,0.0424313138621722
ber,3.0,2,upair5g_lmmse,0.063156246214874
ber,3.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0923993901688923
ber,3.0,4,baseline_ls_lmmse,0.0993908209394114
ber,3.0,5,baseline_ddcpe_ls_lmmse,0.0995941975320032
ber,4.0,1,perfect_csi_lmmse,0.0052315541940142
ber,4.0,2,upair5g_lmmse,0.0104503261950588
ber,4.0,3,paper_cfgres_phaseaware_ls_lmmse,0.0335868051809858
ber,4.0,4,baseline_ls_lmmse,0.0376870502797208
ber,4.0,5,baseline_ddcpe_ls_lmmse,0.0379858978034914
ber,5.0,1,perfect_csi_lmmse,0.0005081827326338
ber,5.0,2,upair5g_lmmse,0.0011202568231627
ber,5.0,3,baseline_ls_lmmse,0.005382641341335
ber,5.0,4,baseline_ddcpe_ls_lmmse,0.0054442235665727
ber,5.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0059951294300168
ber,6.0,1,perfect_csi_lmmse,4.542693444448146e-05
ber,6.0,2,upair5g_lmmse,0.000104985728882
ber,6.0,3,baseline_ls_lmmse,0.0006001919156476
ber,6.0,4,baseline_ddcpe_ls_lmmse,0.0006055876181393
ber,6.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0008709911069278
ber,7.0,1,perfect_csi_lmmse,3.847964974336846e-06
ber,7.0,2,upair5g_lmmse,8.557193963102593e-06
ber,7.0,3,baseline_ls_lmmse,5.6911808575770654e-05
ber,7.0,4,baseline_ddcpe_ls_lmmse,5.797452704851017e-05
ber,7.0,5,paper_cfgres_phaseaware_ls_lmmse,0.0001272027806718
ber,8.0,1,perfect_csi_lmmse,2.289927282998728e-06
ber,8.0,2,upair5g_lmmse,3.2047892725744915e-06
ber,8.0,3,baseline_ls_lmmse,6.163767141889232e-06
ber,8.0,4,baseline_ddcpe_ls_lmmse,6.2450882076293e-06
ber,8.0,5,paper_cfgres_phaseaware_ls_lmmse,1.9154807393865063e-05
ber,9.0,1,upair5g_lmmse,0.0
ber,9.0,2,perfect_csi_lmmse,0.0
ber,9.0,3,baseline_ls_lmmse,1.2530836948128633e-06
ber,9.0,4,baseline_ddcpe_ls_lmmse,1.2845031974851625e-06
ber,9.0,5,paper_cfgres_phaseaware_ls_lmmse,4.655631013618884e-06
ber,10.0,1,baseline_ls_lmmse,0.0
ber,10.0,2,baseline_ddcpe_ls_lmmse,0.0
