receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1811328858368156,1.0,0.1292304268572479,24501176,135266304,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1812130610148112,1.0,0.1294943587272428,24512021,135266304,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.172082080397495,1.0,0.0708289893518667,23276907,135266304,24576,24576,256,True,True
upair5g_lmmse,0.0,0.1630279925442481,1.0,0.0178433853507158,22052194,135266304,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.1580116582471271,1.0,0.0,21373653,135266304,24576,24576,256,True,True
baseline_ls_lmmse,8.0,6.163767141889232e-06,0.0001627604166666,0.0237087146124395,3335,541065216,16,98304,1024,True,False
baseline_ddcpe_ls_lmmse,8.0,6.2450882076293e-06,0.0001627604166666,0.0237383444055012,3379,541065216,16,98304,1024,True,False
paper_cfgres_phaseaware_ls_lmmse,8.0,1.9154807393865063e-05,0.0006306966145833,0.0228983406286715,10364,541065216,62,98304,1024,True,True
upair5g_lmmse,8.0,3.2047892725744915e-06,4.069010416666666e-05,0.0035942268802955,1734,541065216,4,98304,1024,True,False
perfect_csi_lmmse,8.0,2.289927282998728e-06,4.069010416666666e-05,0.0,1239,541065216,4,98304,1024,True,False
