metric,ebno_db,best_non_upair_receiver,best_non_upair_value,upair_value,gain_factor_best_non_upair_over_upair
ber,0.0,paper_cfgres_phaseaware_ls_lmmse,0.172082080397495,0.1630279925442481,1.0555370136867108
ber,1.0,paper_cfgres_phaseaware_ls_lmmse,0.1497848126315331,0.1397651849791061,1.0716890093475344
ber,2.0,paper_cfgres_phaseaware_ls_lmmse,0.1251899068669755,0.1117638358774111,1.1201289387051003
ber,3.0,paper_cfgres_phaseaware_ls_lmmse,0.0923993901688923,0.063156246214874,1.463028531723141
ber,4.0,paper_cfgres_phaseaware_ls_lmmse,0.0335868051809858,0.0104503261950588,3.2139480198107653
ber,5.0,baseline_ls_lmmse,0.005382641341335,0.0011202568231627,4.804827991262549
ber,6.0,baseline_ls_lmmse,0.0006001919156476,0.000104985728882,5.716890495871044
ber,7.0,baseline_ls_lmmse,5.6911808575770654e-05,8.557193963102593e-06,6.650755939524838
ber,8.0,baseline_ls_lmmse,6.163767141889232e-06,3.2047892725744915e-06,1.9232987312572085
ber,9.0,baseline_ls_lmmse,1.2530836948128633e-06,0.0,1253083.6948128634
ber,10.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,11.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,12.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,13.0,baseline_ls_lmmse,0.0,0.0,1.0
ber,14.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,0.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,1.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,2.0,baseline_ls_lmmse,1.0,1.0,1.0
bler,3.0,baseline_ls_lmmse,1.0,0.9806315104166666,1.0197510373443983
bler,4.0,paper_cfgres_phaseaware_ls_lmmse,0.647216796875,0.2568766276041667,2.5195628069063836
bler,5.0,baseline_ls_lmmse,0.1318766276041666,0.0277506510416666,4.752199413489746
bler,6.0,baseline_ls_lmmse,0.0152220630372492,0.0029847182425978,5.100000000000141
bler,7.0,baseline_ddcpe_ls_lmmse,0.0016276041666666,0.000244140625,6.666666666666393
bler,8.0,baseline_ls_lmmse,0.0001627604166666,4.069010416666666e-05,3.9999999999983626
bler,9.0,baseline_ls_lmmse,3.0517578125e-05,0.0,30517578.125
bler,10.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,11.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,12.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,13.0,baseline_ls_lmmse,0.0,0.0,1.0
bler,14.0,baseline_ls_lmmse,0.0,0.0,1.0
nmse,0.0,paper_cfgres_phaseaware_ls_lmmse,0.0708289893518667,0.0178433853507158,3.9694815731267803
nmse,1.0,paper_cfgres_phaseaware_ls_lmmse,0.059171654342208,0.0140815500235476,4.202069675799848
nmse,2.0,paper_cfgres_phaseaware_ls_lmmse,0.0499135127320187,0.0112591733413864,4.433141867400417
nmse,3.0,paper_cfgres_phaseaware_ls_lmmse,0.0425364590046228,0.0090930929763999,4.677886733922263
nmse,4.0,paper_cfgres_phaseaware_ls_lmmse,0.0366386468376731,0.0074354995940666,4.927529935837816
nmse,5.0,paper_cfgres_phaseaware_ls_lmmse,0.0319397273706272,0.0061296909661905,5.210658668894886
nmse,6.0,paper_cfgres_phaseaware_ls_lmmse,0.0282456693066054,0.0050978461096335,5.540706545305282
nmse,7.0,paper_cfgres_phaseaware_ls_lmmse,0.0252435786806017,0.0042641534826088,5.919950767146808
nmse,8.0,paper_cfgres_phaseaware_ls_lmmse,0.0228983406286715,0.0035942268802955,6.37086677922483
nmse,9.0,baseline_ls_lmmse,0.0196290315307123,0.0030558349424154,6.42345934927921
nmse,10.0,baseline_ls_lmmse,0.0163818103283119,0.0026162963520164,6.261450586699136
nmse,11.0,baseline_ddcpe_ls_lmmse,0.0137878877494586,0.0022527152070779,6.12056406692593
nmse,12.0,baseline_ddcpe_ls_lmmse,0.0117461838217423,0.0019594396595721,5.994664732011914
nmse,13.0,baseline_ddcpe_ls_lmmse,0.0101078962552492,0.0017111892460661,5.90694236682852
nmse,14.0,baseline_ddcpe_ls_lmmse,0.0088224226747115,0.001509302451609,5.845364304090481
