receiver,ebno_db,ber,bler,nmse,bit_errors,num_bits,block_errors,num_blocks,num_batches_run,reliable_ber,reliable_bler
baseline_ls_lmmse,0.0,0.1783459507827217,1.0,0.1440093676210381,26368309,147849216,24576,24576,256,True,True
baseline_ddcpe_ls_lmmse,0.0,0.1782087772450548,1.0,0.1435157367377542,26348028,147849216,24576,24576,256,True,True
paper_cfgres_phaseaware_ls_lmmse,0.0,0.1710772277615594,1.0,0.0940504606987815,25293634,147849216,24576,24576,256,True,True
upair5g_lmmse,0.0,0.1607068379720052,1.0,0.0319494321884121,23760380,147849216,24576,24576,256,True,True
perfect_csi_lmmse,0.0,0.150032638658023,1.0,0.0,22182208,147849216,24576,24576,256,True,True
baseline_ls_lmmse,8.0,0.0003220307911541,0.0073038736979166,0.0357095357976504,190448,591396864,718,98304,1024,True,True
baseline_ddcpe_ls_lmmse,8.0,5.1995541187042885e-05,0.001220703125,0.0297886716307402,30750,591396864,120,98304,1024,True,True
paper_cfgres_phaseaware_ls_lmmse,8.0,0.0003737540955239,0.0091044108072916,0.0447517220891313,221037,591396864,895,98304,1024,True,True
upair5g_lmmse,8.0,3.180605299929355e-06,7.120768229166667e-05,0.006907510343808,1881,591396864,7,98304,1024,True,False
perfect_csi_lmmse,8.0,2.7392772918051864e-07,2.034505208333333e-05,0.0,162,591396864,2,98304,1024,True,False
